time_s,rms_dbfs,spectral_centroid_hz,onset_strength
21.2480,-18.9802,1649.083,2.64065
21.2907,-19.1079,1707.287,2.52165
21.3333,-19.4373,1757.781,2.50761
21.3760,-19.7710,1808.234,2.19397
21.4187,-19.7651,1711.224,2.24730
21.4613,-19.0802,1596.323,2.35472
21.5040,-19.2810,1381.594,2.17520
21.5467,-19.1854,1185.984,2.11505
21.5893,-19.3471,1042.080,2.13671
21.6320,-18.6541,1029.466,2.11093
21.6747,-18.8073,1006.671,2.08193
21.7173,-19.3668,889.108,2.68942
21.7600,-19.4908,865.269,2.43878
21.8027,-19.8159,867.680,2.42694
21.8453,-19.4358,943.561,2.71335
21.8880,-19.3020,1082.536,2.49446
21.9307,-19.2186,1029.532,2.65569
21.9733,-19.0415,940.949,2.77085
22.0160,-19.0814,943.966,2.80969
22.0587,-19.0005,1015.245,2.80671
22.1013,-18.9302,1021.424,2.70814
22.1440,-18.7646,1115.683,2.76619
22.1867,-18.4812,1145.833,2.72773
22.2293,-18.2941,1147.020,2.95441
22.2720,-18.5004,1362.014,2.86499
22.3147,-18.7760,1521.338,2.74212
22.3573,-18.8632,1665.945,2.19603
22.4000,-18.8976,1705.387,2.26841
22.4427,-18.5301,1677.089,2.39173
22.4853,-18.5930,1557.332,2.07284
22.5280,-18.4956,1485.749,1.91757
22.5707,-18.6808,1438.127,1.81948
22.6133,-18.4583,1403.840,1.78257
22.6560,-18.3052,1390.975,1.70832
22.6987,-18.4884,1287.317,2.20201
22.7413,-18.6625,1322.830,2.16703
22.7840,-19.2338,1385.245,2.11924
22.8267,-19.0735,1468.052,2.37408
22.8693,-19.0087,1588.354,2.20826
22.9120,-18.9525,1483.835,2.33155
22.9547,-18.8515,1320.816,2.47629
22.9973,-18.8428,1206.426,2.42355
23.0400,-18.7387,1171.840,2.38592
23.0827,-18.6221,1067.111,2.30522
23.1253,-18.3236,998.841,2.30640
23.1680,-18.0861,905.567,2.32378
23.2107,-17.8379,776.980,2.85883
23.2533,-17.9847,841.457,2.75603
23.2960,-18.1713,874.552,2.83930
23.3387,-18.1724,927.623,2.45435
23.3813,-18.1452,949.404,2.46263
23.4240,-17.6931,941.111,2.55085
23.4667,-17.7702,868.994,2.39381
23.5093,-17.6492,849.099,2.25816
23.5520,-17.8532,829.110,2.14955
23.5947,-17.7746,812.868,2.18650
23.6373,-17.8978,860.169,2.24676
23.6800,-18.0751,842.506,2.31384
23.7227,-18.0625,859.861,2.22551
23.7653,-18.8245,959.361,2.22075
23.8080,-18.8310,1082.000,2.60423
23.8507,-18.9735,1197.361,2.33895
23.8933,-18.8977,1147.429,2.40783
23.9360,-18.5893,1057.777,2.47293
23.9787,-18.9789,1050.925,2.36203
24.0213,-18.9361,1206.392,2.43787
24.0640,-19.2557,1297.765,2.52858
24.1067,-18.9931,1323.630,2.44911
24.1493,-18.6737,1278.608,2.51024
24.1920,-18.4253,1181.237,2.94368
24.2347,-17.9506,1285.040,2.73477
24.2773,-18.0571,1373.837,2.65303
24.3200,-17.9498,1366.170,2.67842
24.3627,-17.9776,1235.492,2.69890
24.4053,-17.8675,1091.244,2.74519
24.4480,-17.6052,954.609,2.42283
24.4907,-17.4841,929.424,2.20540
24.5333,-17.3201,937.594,2.18963
24.5760,-17.4402,918.292,2.11819
24.6187,-17.5175,940.551,2.13594
24.6613,-17.5461,938.184,2.23446
